check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
weak_dml_3_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.5283937925,0.5283937925,0,1e-12,passed
weak_dml_3_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.985402721,1.985402721,0,1e-12,passed
weak_dml_3_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.9019310526,0.9019310526,0,1e-12,passed
weak_dml_3_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9475422739,0.9475422739,0,1e-12,passed
weak_dml_4_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.928,0.928,0,1e-12,passed
weak_dml_4_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_dml_4_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.022,-0.022,0,1e-12,passed
weak_dml_4_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.5816845345,0.5816845345,0,1e-12,passed
weak_dml_4_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,2.025897235,2.025897235,0,1e-12,passed
weak_dml_4_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.9019310526,0.9019310526,0,1e-12,passed
weak_dml_4_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9475422739,0.9475422739,0,1e-12,passed
weak_dml_5_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.93,0.93,0,1e-12,passed
weak_dml_5_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_dml_5_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.02,-0.02,0,1e-12,passed
weak_dml_5_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.218884794,1.218884794,0,1e-12,passed
weak_dml_5_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,3.608657425,3.608657425,0,1e-12,passed
weak_dml_5_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.9042022712,0.9042022712,0,1e-12,passed
weak_dml_5_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9492405568,0.9492405568,0,1e-12,passed
scenario_order,scenario_order,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,True,True,0,0,passed
