estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp2,1000,200,0.1,0.5,500,500,0,1,0.026,0,1.0332,1.226083195,1.227035138,0.95,0.009746794345,0.9308962831,0.9691037169,3.709992139,4,0.67,,,0,0.13,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.1,0.75,500,499,1,1,-0.2972897502,-0.0744897502,1.068869385,1.28602541,1.252444568,0.9619238477,0.008567351802,0.9451318382,0.9787158572,3.782687636,4,0.772,,,0.002,0.164,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.25,0.25,500,499,1,1,0.1148897502,0.0744897502,0.812885713,0.9858841183,0.9801475493,0.9559118236,0.009190088878,0.9378992494,0.9739243978,3.322730791,3.579071945,0.304,,,0.002,0.098,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.25,0.5,500,500,0,1,-0.03,0,0.7092,0.9007996448,0.9012016027,0.932,0.01125841907,0.9099334986,0.9540665014,3.128542673,3.208132599,0.17,,,0,0.052,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.25,0.75,500,500,0,1,-0.2008897502,-0.0744897502,0.741832647,0.9481243229,0.9275255508,0.944,0.01028241217,0.9238464722,0.9641535278,3.393646443,3.763266935,0.39,,,0,0.068,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.5,0.25,500,500,0,1,-0.0871102498,-0.1255102498,0.513836738,0.6355105315,0.6301425229,0.952,0.009559916318,0.933262564,0.970737436,2.35613608,2.323830178,0.008,,,0,0.042,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.5,0.5,500,500,0,1,-0.0696,0,0.3832,0.4843139478,0.4797668104,0.944,0.01028241217,0.9238464722,0.9641535278,1.993052274,1.973284403,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.5,0.75,500,500,0,1,-0.0824897502,-0.0744897502,0.434114278,0.5497822832,0.5441030198,0.952,0.009559916318,0.933262564,0.970737436,2.248083717,2.158070387,0.012,,,0,0.006,,,,,,,,,
DML-IVQR,dgp2,1000,200,1,0.25,500,500,0,1,-0.0583102498,-0.1255102498,0.312032656,0.3894666163,0.3854624789,0.948,0.009929350432,0.9285384732,0.9674615268,1.519722505,1.498702336,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,1000,200,1,0.5,500,500,0,1,-0.0552,0,0.2256,0.2923012145,0.2873292121,0.956,0.009172131704,0.9380226219,0.9739773781,1.142789786,1.121288956,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,1000,200,1,0.75,500,500,0,1,-0.0468897502,-0.0744897502,0.256114278,0.3102207096,0.3069636679,0.946,0.01010781876,0.9261886752,0.9658113248,1.24265937,1.222485054,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.1,0.25,500,499,1,1,0.6016897502,0.5744897502,1.169265294,1.403969628,1.269773527,0.9739478958,0.007130812093,0.9599715041,0.9879242875,3.793021542,4,0.77,,,0.002,0.15,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.1,0.5,500,500,0,1,0.0812,0.2,1.1788,1.329872174,1.32872027,0.944,0.01028241217,0.9238464722,0.9641535278,3.761174284,4,0.752,,,0,0.15,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.1,0.75,500,499,1,1,-0.2944897502,-0.0744897502,1.014257139,1.252423336,1.218527644,0.9679358717,0.007886471501,0.9524783876,0.9833933559,3.804804825,4,0.794,,,0.002,0.142,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.25,0.25,500,500,0,1,0.3400897502,0.2744897502,1.027244893,1.248550231,1.202542664,0.948,0.009929350432,0.9285384732,0.9674615268,3.662323117,4,0.64,,,0,0.126,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.25,0.5,500,500,0,1,0.0804,0,1.0076,1.1882424,1.186706528,0.948,0.009929350432,0.9285384732,0.9674615268,3.518045603,3.893063839,0.442,,,0,0.116,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.25,0.75,500,498,2,1,-0.2164897502,0.1255102498,0.985404082,1.215328685,1.197088988,0.9417670683,0.01049400837,0.9211988119,0.9623353247,3.63501298,4,0.64,,,0.004,0.148,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.5,0.25,500,499,1,1,0.0184897502,-0.1255102498,0.802934697,0.9732861197,0.9740850493,0.9338677355,0.01112497669,0.9120627812,0.9556726898,3.069915585,3.231909994,0.19,,,0.002,0.114,,,,,,,,,
