dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,1000,200,0.25,0.75,oracle,10,10,-0.5244897501960816,-0.4244897501960816,0.6539032788270357,0.5244897501960816,0.0,0.0,0.45,0.45,0.0,0.0,0.5,0.0,,0.0,10.0,0.5594076999812387,,10,
dgp1,1000,200,0.25,0.75,post_selection_ivqr,10,10,-0.1744897501960816,-0.1744897501960816,0.28363122698936194,0.23959180015686526,0.3,0.3,0.4,0.4,0.0,0.0,0.5,0.1,,0.0,24.4,9.289731469994877,,10,
dgp1,1000,200,0.5,0.25,dml_ivqr,10,10,0.2744897501960817,0.1744897501960817,0.3396242378905065,0.2744897501960817,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,,21.65179539998644,,10,
dgp1,1000,200,0.5,0.25,oracle,10,10,0.6744897501960817,0.6744897501960817,0.6744897501960818,0.6744897501960817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.6182432999892626,,10,
dgp1,1000,200,0.5,0.25,post_selection_ivqr,10,10,0.5244897501960817,0.6744897501960817,0.6539032788270358,0.5895918001568653,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,0.0,19.9,8.40202972998959,,10,
dgp1,1000,200,0.5,0.5,dml_ivqr,10,10,0.0,0.0,0.0,0.0,0.9,0.9,0.25,0.25,0.0,0.0,0.1,0.0,,0.0,,26.998970160016324,,10,
dgp1,1000,200,0.5,0.5,oracle,10,10,-0.05,0.0,0.27386127875258304,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.5906400799925905,,10,
dgp1,1000,200,0.5,0.5,post_selection_ivqr,10,10,0.0,0.0,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.6,0.0,,0.0,20.3,9.074335239990614,,10,
dgp1,1000,200,0.5,0.75,dml_ivqr,10,10,-0.22448975019608158,-0.1744897501960816,0.26999194051508113,0.22448975019608158,0.0,0.0,0.25,0.25,0.0,0.0,0.2,0.0,,0.0,,21.53526351999608,,10,
dgp1,1000,200,0.5,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.05,0.05,0.0,0.0,0.8,0.0,,0.0,10.0,0.5766571000101977,,10,
dgp1,1000,200,0.5,0.75,post_selection_ivqr,10,10,-0.12448975019608159,-0.1744897501960816,0.19492998205479525,0.18959180015686528,0.1,0.1,0.1,0.1,0.0,0.0,0.3,0.0,,0.0,22.3,8.6306693700084,,10,
