dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,200,0.25,0.75,oracle,10,10,-0.8244897501960814,-0.6744897501960816,1.11008258619726,0.8244897501960814,0.0,0.0,2.2205867536522437,2.2205867536522437,0.0,0.0,0.0,0.0,,0.0,10.0,0.6341602700063959,,10,
dgp1,500,200,0.25,0.75,post_selection_ivqr,10,10,-0.5244897501960816,-0.4244897501960816,1.1303050464634528,0.8546938501176488,0.7,0.7,2.411274203187946,2.411274203187946,0.0,0.0,0.0,0.1,,0.0,22.2,4.281937679997645,,10,
dgp1,500,200,0.5,0.25,dml_ivqr,10,10,0.4244897501960817,0.4244897501960817,0.5853986231804204,0.48959180015686526,0.9,0.9,1.7433997120160487,1.7433997120160487,0.0,0.0,0.0,0.0,,0.0,,10.708681559993419,,10,
dgp1,500,200,0.5,0.25,oracle,10,10,0.7244897501960816,0.6744897501960817,0.7398549845335779,0.7244897501960816,0.0,0.0,0.6453700512298279,0.6453700512298279,0.0,0.0,0.0,0.1,,0.0,10.0,0.3504454799985979,,10,
dgp1,500,200,0.5,0.25,post_selection_ivqr,10,10,0.2244897501960817,0.1744897501960817,0.3505647557058455,0.28959180015686536,0.8,0.8,1.1405892322370148,1.1405892322370148,0.0,0.0,0.0,0.1,,0.0,20.9,4.139326669991715,,10,
dgp1,500,200,0.5,0.5,dml_ivqr,10,10,0.1,0.0,0.31622776601683794,0.2,0.9,0.9,1.052414239950884,1.052414239950884,0.0,0.0,0.0,0.1,,0.0,,11.836133889999473,,10,
dgp1,500,200,0.5,0.5,oracle,10,10,-0.15,0.0,0.4743416490252569,0.35,0.6,0.6,0.8403639903182146,0.8403639903182146,0.0,0.0,0.0,0.2,,0.0,10.0,0.5729668600077276,,10,
dgp1,500,200,0.5,0.5,post_selection_ivqr,10,10,0.2,0.0,0.31622776601683794,0.2,0.9,0.9,0.6823229380180069,0.6823229380180069,0.0,0.0,0.0,0.0,,0.0,22.3,5.233207150013186,,10,
dgp1,500,200,0.5,0.75,dml_ivqr,10,10,-0.22448975019608158,-0.1744897501960816,0.5223941499893534,0.41979590007843265,0.9,0.9,1.7801141074728573,1.7801141074728573,0.0,0.0,0.0,0.1,,0.0,,10.430009580001933,,10,
dgp1,500,200,0.5,0.75,oracle,10,10,-0.27448975019608157,-0.1744897501960816,0.4066259005064818,0.27448975019608157,0.0,0.0,0.8676109633872328,0.8676109633872328,0.0,0.0,0.0,0.0,,0.0,10.0,0.45670842000399714,,10,
dgp1,500,200,0.5,0.75,post_selection_ivqr,10,10,-0.07448975019608159,-0.1744897501960816,0.3815084833713067,0.3348979500392163,0.9,0.9,1.4157591582457378,1.4157591582457378,0.0,0.0,0.0,0.0,,0.0,26.0,4.570258180005476,,10,
dgp1,500,200,1.0,0.25,dml_ivqr,10,10,0.32448975019608167,0.1744897501960817,0.39723242312570045,0.32448975019608167,0.4,0.4,0.594362056250217,0.594362056250217,0.0,0.0,0.0,0.0,,0.0,,8.677454490005038,,10,
dgp1,500,200,1.0,0.25,oracle,10,10,0.4744897501960817,0.6744897501960817,0.5789132258302103,0.5395918001568653,0.2,0.2,0.379109636468553,0.379109636468553,0.0,0.0,0.0,0.0,,0.0,10.0,0.2591185599914752,,10,
dgp1,500,200,1.0,0.25,post_selection_ivqr,10,10,0.17448975019608168,0.1744897501960817,0.1744897501960817,0.17448975019608168,0.5,0.5,0.39910469047678176,0.39910469047678176,0.0,0.0,0.0,0.0,,0.0,19.0,3.815524659998482,,10,
